M00704:49:000000000-AFW6D:1:1114:10332:21521,2
M00704:49:000000000-AFW6D:1:1101:12885:14271,2
M00704:49:000000000-AFW6D:1:1106:4029:14847,2
M00704:49:000000000-AFW6D:1:1104:11893:17227,2
M00704:49:000000000-AFW6D:1:2108:16129:8309,2
M00704:49:000000000-AFW6D:1:1106:21335:15423,2
M00704:49:000000000-AFW6D:1:2105:18046:4808,2
M00704:49:000000000-AFW6D:1:2107:9014:26080,2
M00704:49:000000000-AFW6D:1:1107:24931:24062,2
M00704:49:000000000-AFW6D:1:1109:17695:12636,2
M00704:49:000000000-AFW6D:1:2110:17584:13748,2
M00704:49:000000000-AFW6D:1:2113:26083:15756,2
M00704:49:000000000-AFW6D:1:2104:7091:10195,2
M00704:49:000000000-AFW6D:1:1101:28766:19409,2
M00704:49:000000000-AFW6D:1:1111:8302:18735,2
M00704:49:000000000-AFW6D:1:2113:11132:23270,2
M00704:49:000000000-AFW6D:1:1102:14715:20355,2
M00704:49:000000000-AFW6D:1:1101:11306:9395,1
M00704:49:000000000-AFW6D:1:1113:22123:12565,1
M00704:49:000000000-AFW6D:1:1111:3946:13202,1
M00704:49:000000000-AFW6D:1:1106:25037:19737,1
M00704:49:000000000-AFW6D:1:1113:20226:20324,1
M00704:49:000000000-AFW6D:1:1108:9918:9779,1
M00704:49:000000000-AFW6D:1:2101:5964:17557,1
M00704:49:000000000-AFW6D:1:2103:12313:17248,1
M00704:49:000000000-AFW6D:1:2112:20699:12008,1
M00704:49:000000000-AFW6D:1:1107:14481:13125,1
M00704:49:000000000-AFW6D:1:1108:21939:7374,1
M00704:49:000000000-AFW6D:1:1106:8488:5850,1
M00704:49:000000000-AFW6D:1:2110:20954:28240,1
M00704:49:000000000-AFW6D:1:1111:10008:18925,1
M00704:49:000000000-AFW6D:1:1105:26198:22206,1
M00704:49:000000000-AFW6D:1:1103:6003:11456,1
M00704:49:000000000-AFW6D:1:2103:11880:12520,1
M00704:49:000000000-AFW6D:1:2111:20838:10457,1
M00704:49:000000000-AFW6D:1:1105:17993:8348,1
M00704:49:000000000-AFW6D:1:1106:11066:18178,1
M00704:49:000000000-AFW6D:1:1112:3809:17808,1
M00704:49:000000000-AFW6D:1:2110:16175:17501,1
M00704:49:000000000-AFW6D:1:2101:9038:27149,1
M00704:49:000000000-AFW6D:1:1101:20889:16830,1
M00704:49:000000000-AFW6D:1:2104:4910:23618,1
